Image,Pre,Answer,Post,Answers,Start,End
1.png,The parrot is,on,the chair.,"on, under, behind, next to",4,5
1.png,The goldfish is,in,the fish tank.,"in, on, under, next to",4,5
1.png,The dog is,on,the couch.,"on, under, beside, in front of",4,5
1.png,The girl is,sitting on,the couch.,"sitting on, standing near, under",4,5
2.png,The hats are,on,the hat stand.,"on, under, behind, next to",5,6
2.png,The suitcase is,under,the rack.,"under, on, behind, next to",5,6
2.png,The shoes are,on,the top shelf.,"on, under, beside, behind",5,6
2.png,The yellow bag is,next to,the brown suitcase.,"next to, on, under, behind",5,6
2.png,The window is,behind,the hat stand.,"behind, next to, above, below",5,6
3.png,The rocket is,on,the top shelf.,"on, under, behind, next to",3,4
3.png,The ball is,next to,the blue car.,"next to, on, under, behind",3,4
3.png,The blocks are,under,the robot.,"under, on, behind, next to",3,4
3.png,The yellow duck is,in front of,the blocks.,"in front of, on, next to, behind",3,4
3.png,The robot is,next to,the blocks.,"next to, under, behind, above",3,4
3.png,The airplane is,on,the top shelf.,"on, next to, under, above",3,4
4.png,The books are,on,the shelf.,"on, under, next to, behind",6,7
4.png,The map is,on,the wall.,"on, under, in front of, behind",6,7
4.png,The treasure chest is,next to,the rug.,"next to, on, under, behind",6,7
4.png,The lamp is,on,the desk.,"on, under, next to, behind",6,7
4.png,The globe is,on,the floor.,"on, under, beside, next to",6,7
4.png,The coat is,hanging on,the wall hooks.,"hanging on, next to, under, behind",6,7
5.png,The computer is,on,the desk.,"on, under, next to, behind",5,6
5.png,The clock is,on,the wall.,"on, under, beside, in front of",5,6
5.png,The chair is,in front of,the desk.,"in front of, next to, under, behind",5,6
5.png,The books are,on,the shelf.,"on, under, next to, behind",5,6
5.png,The calendar is,hanging on,the wall.,"hanging on, next to, under, behind",5,6
5.png,The plant is,next to,the desk.,"next to, on, under, behind",5,6
6.png,The tires are,on,the floor.,"on, under, next to, behind",7,8
6.png,The robot is,next to,the tires.,"next to, under, behind, in front of",7,8
